Gender,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,SupportCalls,PaymentMethod,Churn
0,43,55,102,5610,1,2,1,1,0
0,55,36,41,1476,1,0,9,0,1
1,19,26,82,2132,1,0,8,2,1
1,61,41,79,3239,1,1,3,0,0
0,48,58,26,1508,0,2,10,1,1
0,61,52,34,1768,1,0,6,1,0
0,61,69,116,8004,0,2,10,1,1
0,30,4,105,420,0,0,8,1,1
1,36,43,114,4902,1,1,4,1,0
1,53,41,105,4305,0,0,3,2,1
1,32,41,41,1681,1,2,9,0,1
1,63,41,35,1435,1,2,6,2,0
0,21,35,34,1190,1,1,3,0,0
1,51,33,57,1881,0,1,3,0,0
0,47,35,45,1575,0,1,10,0,1
1,22,12,119,1428,0,0,9,0,1
1,39,44,109,4796,1,0,5,2,0
1,46,11,96,1056,0,2,0,1,0
0,26,71,88,6248,0,2,10,1,1
1,54,62,59,3658,1,0,2,0,0
0,59,32,23,736,1,2,5,1,0
1,25,18,66,1188,0,2,2,2,1
1,36,30,32,960,1,0,9,2,1
1,29,19,86,1634,0,2,2,0,0
1,28,58,52,3016,1,2,5,1,0
1,30,3,24,72,0,0,6,0,1
0,47,42,81,3402,1,2,5,2,0
0,58,67,62,4154,1,1,1,1,0
0,23,63,99,6237,1,0,2,1,0
1,42,7,95,665,1,1,9,0,1
0,32,62,83,5146,0,0,5,2,1
0,44,36,112,4032,0,1,5,1,0
0,34,26,26,676,0,1,5,2,1
0,45,39,90,3510,1,2,3,0,0
1,25,36,41,1476,0,2,0,0,1
0,40,51,56,2856,1,2,3,1,0
0,27,63,51,3213,0,1,10,0,1
0,36,67,47,3149,1,0,2,1,0
0,53,36,103,3708,0,1,7,0,0
1,33,6,95,570,1,2,2,2,1
0,43,4,59,236,0,2,6,2,1
0,37,59,78,4602,1,2,4,2,0
1,38,2,28,56,0,1,7,1,0
1,61,69,94,6486,0,0,0,2,1
0,49,7,53,371,0,2,0,2,0
1,67,7,112,784,1,1,2,0,1
0,22,59,31,1829,1,1,0,1,0
0,28,51,41,2091,1,1,0,1,0
1,18,26,105,2730,1,2,5,0,0
0,55,13,108,1404,0,1,3,1,0
1,51,28,79,2212,1,1,4,2,0
0,28,2,27,54,1,1,3,1,0
0,29,16,113,1808,1,0,5,2,1
0,31,24,77,1848,0,2,10,2,1
0,28,10,47,470,1,2,5,1,1
1,62,57,84,4788,0,1,1,0,0
0,33,55,78,4290,0,1,0,0,0
1,26,58,24,1392,1,2,1,0,0
1,52,29,21,609,1,2,6,1,0
1,64,43,39,1677,1,1,2,2,0
1,59,61,22,1342,1,0,2,1,0
1,37,17,65,1105,1,0,5,0,0
0,60,4,32,128,1,2,2,1,0
1,26,59,63,3717,0,2,8,1,1
0,44,68,43,2924,1,2,0,2,0
1,45,52,31,1612,0,2,2,0,0
0,40,53,42,2226,1,1,9,0,1
1,38,55,73,4015,0,1,9,1,1
1,20,22,31,682,0,0,9,0,1
0,50,62,31,1922,0,2,8,1,1
1,56,12,107,1284,0,0,3,0,0
1,29,7,67,469,0,0,4,2,0
1,70,60,109,6540,0,2,1,0,1
1,38,53,28,1484,0,2,4,2,1
0,44,58,111,6438,0,2,3,1,0
1,43,15,60,900,0,0,7,2,0
0,29,43,56,2408,0,2,4,1,0
1,55,58,34,1972,1,2,6,1,0
0,20,16,29,464,1,1,5,0,1
1,66,69,50,3450,0,1,0,0,1
0,20,36,80,2880,1,2,0,2,0
0,18,6,84,504,1,2,0,2,1
0,34,4,110,440,1,0,5,0,0
1,38,71,77,5467,0,0,2,2,1
0,43,5,71,355,0,2,5,2,1
0,45,30,109,3270,1,0,4,2,0
1,63,14,119,1666,1,1,7,2,1
0,23,11,45,495,1,2,5,0,1
0,58,8,117,936,0,2,2,1,0
1,53,8,29,232,1,2,6,0,1
0,23,3,89,267,1,1,10,1,1
1,31,26,67,1742,1,1,9,1,1
0,67,33,39,1287,0,1,5,1,0
0,55,59,36,2124,1,1,3,1,0
0,69,72,35,2520,1,1,7,2,0
0,41,69,30,2070,1,1,1,0,0
0,21,8,33,264,0,0,7,2,0
1,25,67,63,4221,1,2,6,2,0
0,51,1,28,28,1,1,2,2,1
0,26,55,46,2530,1,1,9,2,1
0,38,46,86,3956,1,0,3,1,0
0,49,2,20,40,0,1,6,0,0
0,51,2,57,114,1,0,1,2,0
0,57,41,101,4141,1,2,3,0,0
0,65,66,118,7788,0,1,4,1,1
0,48,2,63,126,0,0,0,2,1
0,44,52,22,1144,0,0,3,2,1
0,37,7,38,266,1,1,8,2,1
0,58,54,113,6102,0,2,6,2,0
1,59,65,120,7800,0,1,2,1,0
