CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,SupportCalls,PaymentMethod,Churn
CUST1,Female,43,55,102,5610,Yearly,None,1,Cash,No
CUST2,Female,55,36,41,1476,Yearly,DSL,9,Card,Yes
CUST3,Male,19,26,82,2132,Yearly,DSL,8,Online,Yes
CUST4,Male,61,41,79,3239,Yearly,Fiber,3,Card,No
CUST5,Female,48,58,26,1508,Monthly,None,10,Cash,Yes
CUST6,Female,61,52,34,1768,Yearly,DSL,6,Cash,No
CUST7,Female,61,69,116,8004,Monthly,None,10,Cash,Yes
CUST8,Female,30,4,105,420,Monthly,DSL,8,Cash,Yes
CUST9,Male,36,43,114,4902,Yearly,Fiber,4,Cash,No
CUST10,Male,53,41,105,4305,Monthly,DSL,3,Online,Yes
CUST11,Male,32,41,41,1681,Yearly,None,9,Card,Yes
CUST12,Male,63,41,35,1435,Yearly,None,6,Online,No
CUST13,Female,21,35,34,1190,Yearly,Fiber,3,Card,No
CUST14,Male,51,33,57,1881,Monthly,Fiber,3,Card,No
CUST15,Female,47,35,45,1575,Monthly,Fiber,10,Card,Yes
CUST16,Male,22,12,119,1428,Monthly,DSL,9,Card,Yes
CUST17,Male,39,44,109,4796,Yearly,DSL,5,Online,No
CUST18,Male,46,11,96,1056,Monthly,None,0,Cash,No
CUST19,Female,26,71,88,6248,Monthly,None,10,Cash,Yes
CUST20,Male,54,62,59,3658,Yearly,DSL,2,Card,No
CUST21,Female,59,32,23,736,Yearly,None,5,Cash,No
CUST22,Male,25,18,66,1188,Monthly,None,2,Online,Yes
CUST23,Male,36,30,32,960,Yearly,DSL,9,Online,Yes
CUST24,Male,29,19,86,1634,Monthly,None,2,Card,No
CUST25,Male,28,58,52,3016,Yearly,None,5,Cash,No
CUST26,Male,30,3,24,72,Monthly,DSL,6,Card,Yes
CUST27,Female,47,42,81,3402,Yearly,None,5,Online,No
CUST28,Female,58,67,62,4154,Yearly,Fiber,1,Cash,No
CUST29,Female,23,63,99,6237,Yearly,DSL,2,Cash,No
CUST30,Male,42,7,95,665,Yearly,Fiber,9,Card,Yes
CUST31,Female,32,62,83,5146,Monthly,DSL,5,Online,Yes
CUST32,Female,44,36,112,4032,Monthly,Fiber,5,Cash,No
CUST33,Female,34,26,26,676,Monthly,Fiber,5,Online,Yes
CUST34,Female,45,39,90,3510,Yearly,None,3,Card,No
CUST35,Male,25,36,41,1476,Monthly,None,0,Card,Yes
CUST36,Female,40,51,56,2856,Yearly,None,3,Cash,No
CUST37,Female,27,63,51,3213,Monthly,Fiber,10,Card,Yes
CUST38,Female,36,67,47,3149,Yearly,DSL,2,Cash,No
CUST39,Female,53,36,103,3708,Monthly,Fiber,7,Card,No
CUST40,Male,33,6,95,570,Yearly,None,2,Online,Yes
CUST41,Female,43,4,59,236,Monthly,None,6,Online,Yes
CUST42,Female,37,59,78,4602,Yearly,None,4,Online,No
CUST43,Male,38,2,28,56,Monthly,Fiber,7,Cash,No
CUST44,Male,61,69,94,6486,Monthly,DSL,0,Online,Yes
CUST45,Female,49,7,53,371,Monthly,None,0,Online,No
CUST46,Male,67,7,112,784,Yearly,Fiber,2,Card,Yes
CUST47,Female,22,59,31,1829,Yearly,Fiber,0,Cash,No
CUST48,Female,28,51,41,2091,Yearly,Fiber,0,Cash,No
